Mapping,Accuracy
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 4}",0.9902789518174133
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 4, 'TiAl3': 3}",0.9750633981403212
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 6, 'Fe3C': 3, 'Mg3Cd': 4, 'TiAl3': 5}",0.9763313609467456
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 6, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 4}",0.9771766694843618
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 3, 'TiAl3': 5}",0.9809805579036348
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 3}",0.9767540152155537
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 4}",0.9881656804733728
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 4, 'TiAl3': 3}",0.9830938292476754
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 1, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 6}",0.9611158072696534
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 1, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 5}",0.9573119188503804
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 1, 'Fe3C': 5, 'Mg3Cd': 4, 'TiAl3': 6}",0.9729501267962807
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 1, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 4}",0.9691462383770076
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 1, 'Fe3C': 6, 'Mg3Cd': 4, 'TiAl3': 5}",0.9860524091293322
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 1, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 4}",0.978021978021978
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 4, 'Fe3C': 1, 'Mg3Cd': 5, 'TiAl3': 6}",0.9560439560439561
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 4, 'Fe3C': 1, 'Mg3Cd': 6, 'TiAl3': 5}",0.9598478444632291
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 4, 'Fe3C': 5, 'Mg3Cd': 1, 'TiAl3': 6}",0.9801352493660186
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 4, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 1}",0.9687235841081995
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 4, 'Fe3C': 6, 'Mg3Cd': 1, 'TiAl3': 5}",0.9860524091293322
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 4, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 1}",0.978021978021978
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 1, 'Mg3Cd': 4, 'TiAl3': 6}",0.9657650042265427
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 1, 'Mg3Cd': 6, 'TiAl3': 4}",0.9653423499577346
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 1, 'TiAl3': 6}",0.9797125950972105
"{'Cu3Au': 2, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 1}",0.9704142011834319
